id,spkid,full_name,pdes,name,prefix,neo,pha,H,diameter,albedo,diameter_sigma,orbit_id,epoch,epoch_mjd,epoch_cal,equinox,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per,per_y,moid,moid_ld,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,rms
a0001682,2001682,  1682 Karel (1949 PH),1682,Karel,,N,N,12.8,7.267,0.278,0.195,JPL 37,2459000.5,59000,20200531,J2000,0.191509039,2.238590168,1.809879916,4.028010367,325.7305312,9.793562906,40.90235499,2.66730042,0.294267423,2458861.503,20200113,1223.37701,3.34942371,0.800214,311.4192824,3.96E-08,5.86E-09,8.97E-08,4.17E-06,5.08E-05,5.16E-05,9.24E-06,6.98E-09,1.16E-09,3.12E-05,4.80E-06,MBA,0.41432
a0001683,2001683,  1683 Castafiore (1950 SL),1683,Castafiore,,N,N,11.6,21.159,0.16,0.114,JPL 35,2459000.5,59000,20200531,J2000,0.176138412,2.736620275,2.254596325,12.47764519,326.633922,347.0128109,188.7145555,3.218644225,0.217711948,2459787.253,20220726.75,1653.561063,4.527203457,1.24285,483.6799345,4.62E-08,1.16E-08,1.23E-07,4.48E-06,1.71E-05,2.11E-05,1.63E-05,1.36E-08,1.38E-09,7.77E-05,1.05E-05,MBA,0.41827
a0001684,2001684,  1684 Iguassu (1951 QE),1684,Iguassu,,N,N,11,30.21,0.093,0.321,JPL 39,2459000.5,59000,20200531,J2000,0.125372558,3.096001002,2.707847437,3.667304285,105.3959859,154.6330325,293.760357,3.484154567,0.180926605,2459366.613,20210601.11,1989.757112,5.447658075,1.69304,658.8803768,2.92E-08,1.24E-08,9.26E-08,3.41E-06,5.81E-05,6.02E-05,1.65E-05,1.40E-08,1.09E-09,9.13E-05,1.20E-05,MBA,0.45164
a0001685,2001685,  1685 Toro (1948 OA),1685,Toro,,Y,N,14.3,3.4,0.31,,JPL 447,2459000.5,59000,20200531,J2000,0.43583711,1.367586472,0.771541537,9.383132025,274.2452414,127.2065856,290.2506508,1.963631407,0.61627121,2459113.68,20200921.18,584.1583932,1.599338517,0.0506645,19.71710347,5.87E-09,8.29E-10,8.00E-09,3.38E-06,1.68E-05,1.70E-05,2.10E-06,1.19E-09,5.60E-10,3.44E-06,5.31E-07,APO,0.3272
a0001686,2001686,  1686 De Sitter (1935 SR1),1686,De Sitter,,N,N,11.1,29.661,0.088,0.29,JPL 41,2459000.5,59000,20200531,J2000,0.160035583,3.162434106,2.656332121,0.616865104,6.315244682,294.4107358,73.51370388,3.668536092,0.175255577,2458581.034,20190407.53,2054.142909,5.62393678,1.64086,638.5734862,3.17E-08,1.22E-08,1.00E-07,3.85E-06,0.00031416,0.00031437,1.13E-05,1.42E-08,1.02E-09,6.41E-05,1.19E-05,MBA,0.44805
a0001687,2001687,  1687 Glarona (1965 SC),1687,Glarona,,N,N,10.6,37.85,0.141,0.194,JPL 31,2459000.5,59000,20200531,J2000,0.172205243,3.168793482,2.62311063,2.635796806,93.56073016,316.5320252,238.2495785,3.714476334,0.174728267,2459697.299,20220427.8,2060.342073,5.640909165,1.63449,636.0944733,3.66E-08,1.34E-08,1.15E-07,3.70E-06,8.69E-05,8.75E-05,1.21E-05,1.57E-08,1.11E-09,7.19E-05,1.31E-05,MBA,0.46041
a0001688,2001688,  1688 Wilkens (1951 EQ1),1688,Wilkens,,N,N,12.7,16.239,0.044,0.118,JPL 27,2459000.5,59000,20200531,J2000,0.242550601,2.617007047,1.982250415,11.7618493,245.7619783,42.25462991,31.92004885,3.251763679,0.232807376,2458863.391,20200114.89,1546.342759,4.23365574,0.98297,382.5424349,3.62E-08,1.11E-08,9.93E-08,5.24E-06,1.99E-05,2.30E-05,1.31E-05,1.38E-08,1.48E-09,5.57E-05,9.83E-06,MBA,0.42606
a0001689,2001689,  1689 Floris-Jan (1930 SO),1689,Floris-Jan,,N,N,11.8,13.743,0.175,1.905,JPL 34,2459000.5,59000,20200531,J2000,0.206400234,2.449341265,1.943796654,6.377958729,123.1669218,265.1910567,115.9966783,2.954885876,0.257116605,2458549.356,20190306.86,1400.142943,3.833382458,0.96096,373.9768032,2.94E-08,6.26E-09,7.08E-08,3.39E-06,2.82E-05,2.95E-05,1.06E-05,7.55E-09,9.85E-10,4.00E-05,5.37E-06,MBA,0.44324
a0001690,2001690,  1690 Mayrhofer (1948 VB),1690,Mayrhofer,,N,N,11.1,33.81,0.056,1.378,JPL 32,2459000.5,59000,20200531,J2000,0.098302057,3.037081864,2.73853047,13.04896122,230.4502841,155.9343642,210.9496586,3.335633257,0.186217,2459800.912,20220809.41,1933.228435,5.292890993,1.74966,680.9151822,3.68E-08,1.34E-08,1.12E-07,4.27E-06,1.56E-05,2.48E-05,2.10E-05,1.47E-08,1.23E-09,0.00011528,1.28E-05,MBA,0.43699
a0001691,2001691,  1691 Oort (1956 RB),1691,Oort,,N,N,10.9,33.644,0.065,0.267,JPL 54,2459000.5,59000,20200531,J2000,0.175655506,3.163615538,2.607909049,1.085985966,174.5351514,232.574444,55.61184683,3.719322027,0.175157414,2458683.004,20190718.5,2055.294106,5.627088585,1.6179,629.638143,3.10E-08,1.17E-08,1.00E-07,3.56E-06,0.00018046,0.00018075,1.07E-05,1.38E-08,9.75E-10,6.00E-05,1.14E-05,MBA,0.46579
